Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
IDR,2,WANITA,Flexi Cermat,,15,18.5,24.6,32.8,41.0,49.2,57.4,76.9,115.4,153.8,718.0
USD,2,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,2,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,2,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,2,WANITA,Flexi Berkah,108,5,6472,9102,12136,15170,18204,21238,30340,45510,60680,283150
USD,2,WANITA,Flexi Berkah,,10,3160,4740,6320,7500,8889,10371,14815,22223,29630,138250
USD,2,WANITA,Flexi Berkah,,15,2222,3333,4444,5555,6666,7500,10420,15630,20840,97250
USD,2,WANITA,Flexi Cermat,15,5,16630,24945,33260,41575,49890,58205,83150,124725,166300,831500
USD,2,WANITA,Flexi Cermat,,10,8563,12845,17126,21408,25689,29971,42815,64223,85630,428150
USD,2,WANITA,Flexi Cermat,25,5,11767,17651,23534,29418,35301,41185,58835,82365,109820,549100
USD,2,WANITA,Flexi Cermat,,10,6518,9165,12220,15275,18330,21385,30550,45825,61100,285150
USD,2,WANITA,Flexi Cermat,,15,4115,6173,7716,9645,11574,13503,19290,28935,38580,180050
USD,2,WANITA,Flexi Cermat,35,5,8302,12453,16604,20755,24906,29057,41510,62265,77480,387400
USD,2,WANITA,Flexi Cermat,,10,4241,6362,7952,9940,11928,13916,19880,29820,39760,185550
USD,2,WANITA,Flexi Cermat,,15,2868,4302,5736,7170,8067,9412,13445,20168,26890,125500
IDR,3,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,3,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,3,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,3,PRIA,Flexi Berkah,107,5,18.4,24.5,32.7,40.9,49.0,57.2,76.6,114.9,153.2,714.5
IDR,3,PRIA,Flexi Berkah,,10,9.6,12.9,17.2,19.2,23.0,26.8,38.3,57.5,75.0,359.0
IDR,3,PRIA,Flexi Berkah,,15,7.0,10.4,12.5,15.7,18.8,19.5,27.9,41.8,55.7,261.0
IDR,3,PRIA,Flexi Cermat,15,5,138.4,207.5,276.7,345.9,415.1,484.2,691.8,1,037.6,1,383.5,6,917.5
IDR,3,PRIA,Flexi Cermat,,10,71.7,107.5,143.3,179.2,215.0,250.8,358.3,537.5,716.6,3,583.0
IDR,3,PRIA,Flexi Cermat,25,5,81.1,121.7,162.2,202.8,243.3,283.9,405.6,608.3,757.0,3,785.0
IDR,3,PRIA,Flexi Cermat,,10,45.8,68.7,85.8,107.3,128.8,150.2,214.6,321.9,429.2,2,002.5
IDR,3,PRIA,Flexi Cermat,,15,31.1,46.7,62.3,75.0,87.6,102.2,146.0,219.0,292.0,1,362.5
IDR,3,PRIA,Flexi Cermat,35,5,47.4,71.1,88.9,111.2,133.4,155.6,222.3,333.5,444.6,2,075.0
IDR,3,PRIA,Flexi Cermat,,10,26.8,40.1,53.5,66.9,75.3,87.8,125.5,188.2,250.9,1,171.0
IDR,3,PRIA,Flexi Cermat,,15,19.3,28.9,38.6,48.2,57.8,67.5,90.4,135.6,180.8,843.5
USD,3,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,3,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,3,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,3,PRIA,Flexi Berkah,107,5,7500,10887,14516,18145,21774,25403,36290,54435,70000,338700
USD,3,PRIA,Flexi Berkah,,10,3780,5670,7500,8860,10632,12404,17720,26580,35440,165400
USD,3,PRIA,Flexi Berkah,,15,2749,4124,5498,6873,7731,9020,12885,19328,25770,120250
USD,3,PRIA,Flexi Cermat,15,5,16741,25112,33482,41853,50223,58594,83705,125558,167410,837050
USD,3,PRIA,Flexi Cermat,,10,8659,12989,17318,21648,25977,30307,43295,64943,86590,432950
USD,3,PRIA,Flexi Cermat,25,5,12175,18263,24350,30438,36525,42613,60875,85223,113630,568150
USD,3,PRIA,Flexi Cermat,,10,6647,9348,12464,15580,18696,21812,31160,46740,62320,290800
USD,3,PRIA,Flexi Cermat,,15,4185,6278,7846,9808,11769,13731,19615,29423,39230,183100
USD,3,PRIA,Flexi Cermat,35,5,8562,12843,17124,21405,25686,29967,42810,64215,79910,399550
USD,3,PRIA,Flexi Cermat,,10,4394,6591,8238,10298,12357,14417,20595,30893,41190,192200
USD,3,PRIA,Flexi Cermat,,15,2959,4439,5918,7398,8322,9709,13870,20805,27740,129450
IDR,3,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,3,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,3,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,3,WANITA,Flexi Berkah,107,5,15.7,20.9,27.9,34.9,41.8,48.8,69.7,98.0,130.7,653.5
IDR,3,WANITA,Flexi Berkah,,10,8.2,11.0,14.7,18.4,19.6,22.9,32.7,49.1,65.4,306.5
IDR,3,WANITA,Flexi Berkah,,15,5.8,8.7,10.8,13.0,15.6,18.2,23.1,34.7,46.2,216.5
IDR,3,WANITA,Flexi Cermat,15,5,130.9,196.4,261.8,327.3,392.8,458.2,654.6,981.9,1,309.2,6,546.0
IDR,3,WANITA,Flexi Cermat,,10,69.6,104.4,139.1,173.9,208.7,243.5,347.9,521.8,695.7,3,478.5
IDR,3,WANITA,Flexi Cermat,25,5,80.7,121.0,161.3,201.7,242.0,282.3,403.3,605.0,752.9,3,764.5
IDR,3,WANITA,Flexi Cermat,,10,44.1,66.1,82.6,103.3,123.9,144.6,206.6,309.8,413.1,1,928.0
IDR,3,WANITA,Flexi Cermat,,15,30.3,45.5,60.6,75.0,85.2,99.4,142.0,213.0,284.0,1,325.5
IDR,3,WANITA,Flexi Cermat,35,5,46.9,70.3,87.9,109.9,131.9,153.8,219.8,329.6,439.5,2,051.0
IDR,3,WANITA,Flexi Cermat,,10,25.7,38.6,51.4,64.3,75.0,84.4,120.5,180.8,241.0,1,124.5
IDR,3,WANITA,Flexi Cermat,,15,18.4,24.6,32.8,41.0,49.2,57.4,76.9,115.3,153.7,717.0
USD,3,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,3,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,3,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,3,WANITA,Flexi Berkah,107,5,6610,9296,12394,15493,18591,21690,30985,46478,61970,289200
USD,3,WANITA,Flexi Berkah,,10,3227,4841,6454,7565,9078,10591,15130,22695,30260,141200
USD,3,WANITA,Flexi Berkah,,15,2281,3422,4562,5703,6843,7500,10690,16035,21380,99800
USD,3,WANITA,Flexi Cermat,15,5,16640,24960,33280,41600,49920,58240,83200,124800,166400,832000
USD,3,WANITA,Flexi Cermat,,10,8569,12854,17138,21423,25707,29992,42845,64268,85690,428450
USD,3,WANITA,Flexi Cermat,25,5,11749,17624,23498,29373,35247,41122,58745,82245,109660,548300
USD,3,WANITA,Flexi Cermat,,10,6506,9150,12200,15250,18300,21350,30500,45750,61000,284650
USD,3,WANITA,Flexi Cermat,,15,4111,6167,7708,9635,11562,13489,19270,28905,38540,179850
USD,3,WANITA,Flexi Cermat,35,5,8287,12431,16574,20718,24861,29005,41435,62153,77340,386700
USD,3,WANITA,Flexi Cermat,,10,4230,6345,7930,9913,11895,13878,19825,29738,39650,185050
USD,3,WANITA,Flexi Cermat,,15,2863,4295,5726,7158,8052,9394,13420,20130,26840,125250
IDR,4,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,4,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,4,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,4,PRIA,Flexi Berkah,106,5,18.8,25.0,33.3,41.7,50.0,58.3,78.2,117.2,156.3,729.5
IDR,4,PRIA,Flexi Berkah,,10,9.8,13.2,17.6,19.6,23.5,27.4,39.1,58.7,75.0,366.5
IDR,4,PRIA,Flexi Berkah,,15,7.1,10.7,12.8,16.1,19.2,20.0,28.5,42.8,57.0,267.5
IDR,4,PRIA,Flexi Cermat,15,5,138.5,207.7,276.9,346.2,415.4,484.6,692.4,1,038.5,1,384.7,6,923.5
IDR,4,PRIA,Flexi Cermat,,10,71.8,107.7,143.6,179.5,215.4,251.3,359.0,538.5,718.0,3,590.0
IDR,4,PRIA,Flexi Cermat,25,5,81.0,121.5,162.0,202.5,243.0,283.5,405.0,607.4,755.9,3,779.5
IDR,4,PRIA,Flexi Cermat,,10,45.7,68.6,85.7,107.2,128.6,150.0,214.3,321.5,428.6,2,000.0
IDR,4,PRIA,Flexi Cermat,,15,31.1,46.6,62.1,75.0,87.4,101.9,145.6,218.4,291.2,1,359.0
IDR,4,PRIA,Flexi Cermat,35,5,47.4,71.0,88.8,111.0,133.2,155.4,222.0,333.0,444.0,2,072.0
IDR,4,PRIA,Flexi Cermat,,10,26.7,40.1,53.4,66.8,75.1,87.6,125.2,187.8,250.4,1,168.5
IDR,4,PRIA,Flexi Cermat,,15,19.2,28.9,38.5,48.1,57.7,67.3,90.2,135.3,180.4,842.0
USD,4,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,4,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,4,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,4,PRIA,Flexi Berkah,106,5,7500,11114,14818,18523,22227,25932,37045,55568,70000,345750
